repo	number	title	theme	bucket	priority	effort	human_gate	depends_on	evidence
twistedmelonman/claude-config	477	Test suite: 24 failures are environment leakage, not code — suite passes clean	test-hermeticity	CLOSE-DONE?	P2	S	none	#525	Fixes 1+3 in #524 (a72b9ff), merge-lock half in #521 (eeedf54), fix 2 in #575 (76f6ae0, "suite is 562 of 562 locally"); optional fix 4 (CI minimal env) not done — re-run suite before closing
twistedmelonman/claude-config	480	budget monitor tool should proactively hand off to next session	budget-guard	PARK	P3	M	none	#567	One-line feature ask; no design; handoff skills still have no-Drive gap (#567) that automation would inherit
twistedmelonman/claude-config	481	run-review.sh: skip AI review for artifact-only commits (logs, tsv, scan/)	reviewer-reliability	LAND	P1	S	none	none	No artifact skip on main (grep 'artifact' in run-review.sh finds none); owner comment requires review.artifactSkip/review.artifactPatterns per-repo override; listed in STATUS.md reviewer-reliability set
twistedmelonman/claude-config	485	secret-leak hook: false positive when documenting the dangerous form	secret-leak	PARK	P3	S	none	none	#535 allowed quoted-heredoc $VAR only; _DANGEROUS_BRACE still matched anywhere in cmd (hook-block-secret-leak.py:~155); gate now forces bodies through files, lowering frequency
twistedmelonman/claude-config	486	Consider Gitleaks (or Semgrep rules) for secrets already committed to files	secret-leak	PARK	P3	M	none	none	Self-described "maybe-later"; gitleaks now used on tool output by #538 (d53c5bc) but not on committed files/history
twistedmelonman/claude-config	488	code-reviewer fabricated a blocking security finding against a file that does not exist	reviewer-reliability	LAND	P1	M	none	none	No LOCATION-vs-changed-file validation in run-review.sh on main; STATUS.md + dev-env#124 list it; arbiter caught this instance (mitigating)
twistedmelonman/claude-config	489	full-diff pre-push review has no access to the commit message / PR intent	reviewer-reliability	LAND	P1	M	none	none	run-review.sh:1483 comment still says full-diff mode never reaches the message-file path; FULL_DIFF_PROMPT gets diff only
twistedmelonman/claude-config	493	Non-blocking review findings from PR #492 (1)	housekeeping	CLOSE-WONTDO?	P3	S	none	none	Stale advisory standards-check red on a docs-only PR (run 34545224180, log NOT read); adjacent run 34548182880 was the markdownlint opt-out fixed by #497 (1eb7452) per dev-env STATUS.md:253-263; standards-check now required and scoped to changed files
twistedmelonman/claude-config	495	fix: prevent unavailable Superpowers submodule gitlinks	install-deploy	CLOSE-DONE	P3	S	none	none	#498 (63dbce5) dropped the submodule; no .gitmodules on origin/main; update-tools.sh has no submodule call; CLAUDE.md "This repo tracks no submodules"
twistedmelonman/claude-config	496	stop talking about chesterton's fence. apply it, don't advertise it.	claude-md-instructions	LAND	P2	S	none	none	CLAUDE.md:322 still "Chesterton's Fence: Before removing anything..." plus docs/PHILOSOPHY.md:98; agent-behavior/instruction issue, NOT a reviewer bug despite STATUS.md and dev-env#124 listing it under reviewer reliability; can also ride along with #518 if that lands
twistedmelonman/claude-config	504	Local review cannot catch CI findings that depend on checkout layout (PR #503 SC1091)	lint-parity	LAND?	P2	S	none	none	CI now runs shellcheck --rcfile canonical (external-sources=true, source-path=SCRIPTDIR) after cd into repo (github-workflows standards/run-standards.sh:140-142), so SC1091 may be moot; test removing the two disables at run-review.sh:1209,:1215 under a CI-like layout (a03e0f9 control), then close smartwatermelon/github-workflows#168 (still OPEN) with it
twistedmelonman/claude-config	509	merge-lock needs mobile authorization	approval-channel	PARK	P2	L	Andrew: approve a separate bot identity or phone-signature channel	#547	Signed tokens reverted in #517 (dc2674f); comment marks dup of smartwatermelon/dev-env#109 then reopened to widen into shared gate-lock abstraction; same primitive as #547
twistedmelonman/claude-config	514	merge-lock tests fail under an agent: the exported gh function shadows the PATH stubs	test-hermeticity	CLOSE-DONE	P3	S	none	none	Fixed by #521 (eeedf54, 134/134) and #524 (a72b9ff); issue's own last comment: "What remains: Nothing for this issue"
twistedmelonman/claude-config	518	harmonize Claude code and Claude desktop instructions across platforms	claude-md-instructions	PARK	P2	L	Andrew: approve the captain/XO rewrite and Desktop scope	none	Broad rewrite; #541/#543 already compressed CLAUDE.md; absorbs #465, #496, #523 if done as one pass
twistedmelonman/claude-config	523	Protocol 1: default branches to $USER/branchname instead of claude/<type>-<desc>-<session-id>	claude-md-instructions	LAND	P2	S	none	none	CLAUDE.md:82 still mandates claude/<type>-<desc>-<session-id>; also scripts/hook-block-main-commit.sh:131 suggests `claude/feature-name`
twistedmelonman/claude-config	525	gh-wrapper tests: repoint the dead gh() extraction so they test a real subject (#477 fix 2)	test-hermeticity	CLOSE-DONE?	P2	S	none	none	#575 (76f6ae0) sources gh-wrapper.sh, keeps FATAL guard, 562/562; "neuter and confirm fail" validation from done-when not evidenced in PR body
twistedmelonman/claude-config	530	gh active account does not hold for a session, and a wrong-account permissions read looks like a real finding	gh-identity	PARK	P2	L	Andrew: pick enforcement shape (PreToolUse owner check vs token injection)	twistedmelonman/dotfiles#330	No fix on main; related twistedmelonman/dotfiles#330 (OPEN), smartwatermelon/dev-env#158 (Git/GH MCP holding creds), andrewmrich/beacon-workspace#26
twistedmelonman/claude-config	531	pre-commit zizmor hook passes no --config, so every repo needs its own zizmor.yml	lint-parity	CLOSE-DONE	P3	S	none	none	twistedmelonman/dotfiles#344 (1913081) lint-zizmor.sh resolves config like CI; issue's own comment: remaining scope is twistedmelonman/dotfiles#345
twistedmelonman/claude-config	532	pre-commit yamllint hook passes no --config, so local and CI disagree by construction	lint-parity	CLOSE-DONE	P3	S	none	none	twistedmelonman/dotfiles#347 (ce00971) "resolve yamllint config the way CI does"; config.yaml:101 now calls lint-yamllint.sh
twistedmelonman/claude-config	533	pre-commit markdownlint hook: repo-local branch drops the global config entirely (local mirror of dotfiles#308)	lint-parity	CLOSE-DONE	P3	S	none	none	twistedmelonman/dotfiles#341 (47052f0) "merge canonical and repo configs instead of choosing one"; twistedmelonman/dotfiles#308 CLOSED
twistedmelonman/claude-config	534	shellcheck: ~/.shellcheckrc makes local runs disagree with CI, and $HOME discovery hides it	lint-parity	LAND	P3	S	none	none	Local side done by twistedmelonman/dotfiles#353 (1772bb8, "Advances #534"); CI side done: run-standards.sh:140-142 resolves repo rc else canonical standards/shellcheckrc; remaining: delete .shellcheckrc in dotfiles (still at repo root), claude-wrapper, vpn-lan-bridge; annotate kebab-tax test file
twistedmelonman/claude-config	536	Non-blocking review findings from PR #535 (1)	secret-leak	PARK	P3	S	none	none	hook-block-secret-leak.py heredoc rule still tests delimiter and $VAR independently over whole cmd (~line 192); false-positive only, not a leak path
twistedmelonman/claude-config	537	secret-leak hook guards the one channel that has never leaked (84 sites measured)	secret-leak	CLOSE-DONE?	P2	S	none	none	Built as #538 (d53c5bc) PostToolUse redactor, gitleaks + exact-value, Bash and Read; residual from 2026-09-23 comment (path-keyed prong, 16-char app-password shape) overlaps smartwatermelon/dev-env#156 (command-keyed prong) — move it there
twistedmelonman/claude-config	539	Delete repo-local zizmor.yml — canonical config now resolves from github-workflows	lint-parity	LAND	P3	S	none	none	zizmor.yml still at origin/main root (git ls-tree); fold `git rm zizmor.yml` into any next PR
twistedmelonman/claude-config	540	merge-lock: infer the repo for a bare PR number when exactly one open PR matches	merge-lock	PARK	P3	M	none	#562	No inference in hooks/merge-lock.sh; design is careful about token-scoped search (5 decisions); overlaps #562 ask 2
twistedmelonman/claude-config	542	Non-blocking review findings from PR #541 (1)	claude-md-instructions	LAND	P3	S	none	none	docs/CHECKLISTS.md:169 still says staged template "is being reshaped in follow-up work"; two completion descriptions coexist
twistedmelonman/claude-config	545	Non-blocking review findings from PR #544 (2)	approval-gate	CLOSE-DUP	P3	S	none	#547	Item 1 (SSH fails closed) is #547/#509; item 2 (matcher regression suite) done in #546 (2c5d851, "50-case matcher suite ... claude-config#545, second item")
twistedmelonman/claude-config	547	The approval gate blocks all commits over SSH	approval-channel	PARK	P1	L	Andrew: choose remote approval channel (TTY editor, phone signature, desk pre-approval)	none	STATUS/brief flags it; gate-review.sh _require_gui fails closed; #574 30-min TTL now also limits "approve at desk, spend remotely"; same primitive as #509, smartwatermelon/dev-env#109, smartwatermelon/dev-env#153
twistedmelonman/claude-config	548	Three text surfaces the approval gate does not cover	approval-gate	LAND	P1	M	none	none	hook-block-personify.sh:83 alternation is create|comment|edit (no review, no gh api); hook-check-commit-message.py:54 only fires on -m, so conventional-commit check is silently off for every gated -F commit (regression from #546). Related twistedmelonman/dotfiles#355 (--fill)
twistedmelonman/claude-config	549	Non-blocking review findings from PR #546 (2)	approval-gate	CLOSE-DONE	P3	S	none	none	Item 2 (approved/ unbounded) fixed by #574 (a9d3e9b, APPROVAL_TTL gate-review.sh:43); item 1 is an accepted, in-code documented design limitation
twistedmelonman/claude-config	551	morning-andrew: huddle is transcribed locally, not unrecorded	daily-brief-skills	LAND	P2	S	none	#585	skills/morning-andrew/SKILL.md:202 still "unrecorded"; fixing it inline publishes more workplace detail, so land via the #585 profile split
twistedmelonman/claude-config	552	gate-review: reopening rewrites batch.txt under an open editor buffer	approval-gate	CLOSE-DONE?	P3	S	none	none	Mechanism already guarded: _refuse_if_open runs before batch.txt is written (gate-review.sh:178 vs :186) since #544 (a51989e); likely sequence was the 300s Bash timeout killing poller 1, call 2 passing the guard legitimately, and the stale BBEdit save carrying the OLD # BATCH nonce, which _split_batch rejects. Residual: the reject message only appears if a poller is live
twistedmelonman/claude-config	553	gate-review: already-consumed items are re-approved by a later batch	approval-gate	LAND	P3	S	none	none	gate-review.sh:245 still reports `find approved | wc -l` (whole dir) as "approved N item(s)"; #574 TTL shrinks but does not fix the misleading count
twistedmelonman/claude-config	554	gate-review: a near-miss status word exits instead of re-prompting	approval-gate	CLOSE-DUP	P3	S	none	#559	Same defect as #559 (gate-review.sh:240 `_die "unrecognized status"`); #559 is the fuller spec incl. keep-waiting + tests
twistedmelonman/claude-config	555	Commit-time reviewers emit BLOCKING for claims they cannot check, demanding a fix that reintroduces the bug	reviewer-reliability	CLOSE-DUP?	P0	M	none	#455	Same class and same fix as #455 (unverifiable external claim -> BLOCKING, forced --no-verify); keep as evidence on #455, or keep #555 as the generalized keeper — one of the two
twistedmelonman/claude-config	557	Nudge commits to separate docs-only changes from code changes	review-false-ok	PARK	P3	S	none	#558	Suggestion only; #558 is the real defect; nudge reduces but does not fix it
twistedmelonman/claude-config	558	Chunked commit review never runs adversarial-reviewer, and does not say so	review-false-ok	LAND	P1	S	none	none	perform_chunked_review (run-review.sh:1581) calls code-reviewer only; no skip log; CLAUDE.md Protocol 4 still claims both run on every commit
twistedmelonman/claude-config	559	gate-review: accept near-miss spellings of APPROVED and ABORT	approval-gate	LAND	P2	S	none	none	gate-review.sh:231-240 exact match then _die; Andrew's own spec (Levenshtein 2/1, keep polling, echo matched word); absorbs #554
twistedmelonman/claude-config	562	merge-lock improvements	merge-lock	LAND	P2	S	none	none	Comment bug is live: auth branch calls resolve_repo before tokens (merge-lock.sh:653), so fully qualified tokens fail outside a git dir; no URL/repo#N parsing on main. Cross-owner search half overlaps #540
twistedmelonman/claude-config	565	gate-review: approved items are never purged; expire them by age like merge-lock does	approval-gate	CLOSE-DONE	P3	S	none	none	#574 (a9d3e9b) adds APPROVAL_TTL (1800s default, GATE_REVIEW_APPROVAL_TTL override) and _prune_expired on check/stage; TTL chosen 30 min not the 24h proposed
twistedmelonman/claude-config	567	handoff skills assume a Google Drive mount and only discover its absence at use time	handoff-skills	LAND	P2	M	none	none	#561/#563 still fall back to paste-to-chat (prepare-handoff SKILL.md:425) and receive stops on "None" (receive-handoff SKILL.md:27); TILSIT has no Drive. Keeper for #569
twistedmelonman/claude-config	569	prepare and receive handoff need fallbacks if no google drive	handoff-skills	CLOSE-DUP	P2	S	none	#567	Same defect as #567; carry its $XDG_STATE_HOME/claude-handoff location suggestion onto #567
twistedmelonman/claude-config	570	merge-lock tui: multi-select exists but nothing on screen says so	merge-lock	LAND	P3	S	none	none	merge-lock.sh:603 `fzf --multi` with no --header or ctrl-a/ctrl-d binds
twistedmelonman/claude-config	585	morning-andrew and evening-andrew publish personal and workplace details; split generic procedure from a private profile	daily-brief-skills	LAND	P1	M	Andrew: accept that history stays public; pick profile path	none	Filed today; repo is public; evening-andrew added today (#579) adds more exposure; each correction (e.g. #551) is a new public commit about the workplace
smartwatermelon/dev-env	148	[off-plan][urgent] Credential rotation — expiring/plaintext keys in nightowlstudiollc	credentials	LAND	P0	S	Andrew mints new CHANGELOG_PUBLISHER_PAT; rotates RevenueCat + Brevo keys in vendor dashboards	none	Live 09-24: kebab-tax#1258/#1264/#1265 all OPEN, 0 comments; amelia-boone#79 CLOSED 09-11 (drop from table). Expiry date not recorded anywhere readable (secrets API 403 for NOS PAT)
smartwatermelon/dev-env	124	[infra][L] Local-reviewer reliability is critical-path and unowned	local-review	LAND	P0	L	none for corpus; Andrew decides #489 context-vs-mandate question	none	All 5 cited bugs still OPEN 09-24 (claude-config#488,#455,#489,#481,#496); no corpus exists. Realistic 9/30 target = seeded known-bad corpus + determinism measure, park the fixes
smartwatermelon/dev-env	147	[infra][W3] Flip standards-check to required, fleet-wide (5 of 42 done)	W3-fleet	LAND	P1	L	Andrew picks scope (full 37 vs pause-safe checkpoint) per STATUS	none	Re-probed 09-24 with per-owner tokens: still 5/42 require standards-check; 30 claude-review only, +1 claude-review+test+lint, +1 validate+claude-review, 4 unprotected (404), 1 empty contexts. No progress since 09-16
smartwatermelon/dev-env	149	[infra] Dependabot digest: migrate to GitHub App auth (blocked on human install step)	dependabot-digest	LAND	P1	S	Andrew creates the App and installs it on all 3 owners	none	dependabot-digest.yml scheduled run FAILED every day 09-20..09-24 (refuses nulled rollups by design). Either land App before 9/30 or disable the schedule so it is not red daily through the pause
smartwatermelon/dev-env	156	Secret redaction misses vendors gitleaks has no rule for; add a command-keyed prong	secret-hygiene	LAND	P1	M	none (code lives in claude-config; consider transferring issue)	none	Real leak 09-22 (Pangram key, rotated). No op-read / security-find-generic-password prong in claude-config hooks (only a test file mentions op read). Related not dup: twistedmelonman/claude-config#537 (unguarded channels)
smartwatermelon/dev-env	113	standards check must describe actual failure rather than just pass or fail	ci-feedback	LAND	P2	S	none	none	dotfiles/bash/gpush-wrapper.sh:170 still prints only "CI failed (<run>: failure)"; no log excerpt. Fix is in dotfiles (e.g. gh run view --log-failed tail)
smartwatermelon/dev-env	155	Stop tracking AGENTS.md across owned repos	agents-md	LAND	P2	S	8 merge-locks + personify approvals; carve-out decision for claude-code-workflows-agents	none	09-24: AGENTS.md still tracked in all 8 listed repos (personify done). WARNING: in claude-code-workflows-agents CLAUDE.md is a symlink to AGENTS.md (STATUS calls it canonical there); git rm would break its CLAUDE.md
smartwatermelon/dev-env	78	Node 20 is past EOL (2026-04-30) and pinned fleet-wide — audit and migrate off it	runtime-eol	LAND?	P2	S	none	none	STATUS says N1a/N1b done, but live 09-24: nightowlstudiollc/tensegrity ci.yml:18 matrix [18.x] and kebab-tax mobile/Dockerfile.test FROM node:20.18.1-alpine remain. kebab-tax workflows now 24, .nvmrc 24, reliquarist engines >=22. Gmail-MCP-Server is a third-party clone (ArtyMcLabin), out of scope. Close after 2 small PRs. STATUS record is wrong here (claims N1b done and tensegrity has no sub-floor pin); correct STATUS too
smartwatermelon/dev-env	126	[infra] Re-evaluate superpowers: defeat the auto-injection durably, or stop using it	context-cost	LAND?	P2	S	Andrew chooses option A (durable guard) or B (uninstall)	none	Regression recurred as predicted: plugin cache now has superpowers/6.4.1/hooks/session-start + hooks.json (6.3.0 hooks dir empty). Cost continues through the Kebab month unless decided
smartwatermelon/dev-env	94	Post-migration: verify a complete Netlify publish run for all six Netlify sites	netlify	LAND?	P2	M	Netlify dashboard or connector session; trigger publishes	none	No runbook in docs/runbooks; nothing verified. All six repos have main commits after 09-04 (latest 09-09..09-19), so deploys are checkable read-only now. Client/production sites would sit unverified for a month. Commit-status probe on the six mains 09-24 was INCONCLUSIVE: 403 on kebab-tax-netlify and night-owl-studio, no Netlify status on the other four (may be check-runs or a dead webhook; cannot tell from GitHub)
smartwatermelon/dev-env	116	CI cannot AI-review a workflow-touching PR, but its required check still reports SUCCESS	W3-fleet	PARK	P2	M	none	#147	Closed on 4 repos 09-11 by dropping claude-review; residual = repos still requiring claude-review (32 on 09-24 probe). Closes via the W3 retirement phase, which has no issue (see #144 item 3). Resume: once #147 is proven, use this as the retirement tracker
smartwatermelon/dev-env	144	Non-blocking review findings from PR #143 (3)	review-findings	PARK	P2	S	Andrew: Team->Free downgrade timing (after support ticket 4746770)	#147	Item 1 waits on per-owner token routing (twistedmelonman/dotfiles#336). Item 2 (Team->Free downgrade) and item 3 (W3 retirement phase) still have no owning issue. Resume: split 2 and 3 into owned issues before 9/30 so they survive the pause
smartwatermelon/dev-env	120	Dependency upgrades have no release valve: majors and grouped PRs wait on review that does not scale	dependabot-digest	PARK	P3	S	none	#149	09-12 comment says "Closing this in favour of #130" but it is open; STATUS says keep open until a real digest run exists to link. Digest has not produced a good run (fails daily). Resume: close with link after first successful App-auth run
smartwatermelon/dev-env	75	Branch protection is inconsistent fleet-wide, and no repo requires its own test suite	W3-fleet	PARK	P2	M	Andrew: per-repo-class protection profile decision	#147	09-24 probe: only 2 repos require a test-type check (claude-review+test+lint on one; personify validate). Protection-gap half closed per 09-11 comment. Remaining = require test jobs; decide after W3
smartwatermelon/dev-env	146	Track retired repository paths in active fleet tooling	org-migration	PARK	P2	M	none	support ticket 4746770	DEFERRED-BY-DECISION (STATUS: five retired paths, ticket 4746770). Not started: dev-env/scripts/{generate-settings-plan,drop-noop-approve-step,retry-noop-approve-zizmor-fixes}.sh still hard-code smartwatermelon/{dotfiles,claude-config,projectinsomnia}. move-list.txt already records the twistedmelonman shim
smartwatermelon/dev-env	84	org-migration: three conditions the design's failure table does not cover	org-migration	PARK	P3	S	none	none	DEFERRED-BY-DECISION (STATUS: five retired paths, ticket 4746770). Spec Failure-handling table (2026-09-03-org-migration-design.md:286-295) unchanged: no 422 row, diff row still says restore-from-snapshot, no app-install row. Doc-only; matters for the #146 cutover. Resume: batch with #146
smartwatermelon/dev-env	85	[infra] Make smartwatermelon/scripts public: secret audit, history rewrite, branch protection	org-migration	PARK	P2	M	Andrew: visibility flip + history rewrite approval	none	09-24: scripts still PRIVATE (already protected: claude-review). W1 decision recorded #85 as audit-only; ties to Team->Free downgrade (#144 item 2)
smartwatermelon/dev-env	90	[infra] Evaluate org rulesets as the scaling mechanism for review enforcement	protection	PARK	P3	M	none	#147	Backlog spec lists NOS required-workflows ruleset as Deferred; all protection is per-repo classic. Not needed for end-state
smartwatermelon/dev-env	150	[I0] CLAUDE_CONFIG_DIR billing-verification script	identity	PARK	P2	M	Andrew runs it on the company machine with an interactive claude login	none	No script exists in dev-env/claude-wrapper/scripts (only dotfiles/bash/env.sh references CLAUDE_CONFIG_DIR). Spec I0 fully defines it; an agent could build it now and leave it for Andrew
smartwatermelon/dev-env	151	[F2] Owner-aware git-identity.sh	identity	PARK	P3	M	none	#150	STATUS: latent hazard only, do after I0. Spec says do not file as a defect
smartwatermelon/dev-env	109	[infra] Merge authorization is laptop-only, so mobile forces a silent gate bypass	merge-gate	PARK	P2	M	Andrew picks the approval channel	none	Protocol 6 still laptop-only merge-lock; dev-env#101 (TUI) closed 09-13. Cheapest sub-task (detect manual merges with no lock) not built
smartwatermelon/dev-env	153	Idea: Project board Status as an approval proxy for merges	merge-gate	CLOSE-DUP?	P3	S	none	#109	Same problem as #109 (approval from phone). Fold in as another alternative under #109's "Alternatives considered"
smartwatermelon/dev-env	128	[infra] Stale-branch friction is 8.6% fleetwide; auto-merge is already enabled, the gap is in how we merge	merge-gate	PARK	P2	S	Andrew: allow --auto in Protocol 6 and decide merge-lock TTL	none	Global CLAUDE.md Protocol 6 still permits only `gh pr merge N --squash --delete-branch`. Decision-only item
smartwatermelon/dev-env	112	Add an emergency protocol: suspend verification-for-certainty when a human declares an emergency	protocols	PARK	P2	M	Andrew decides the hook-bypass option (a/b/c in body)	none	No emergency protocol in ~/.claude/CLAUDE.md (grep 09-24). Needs an enforcement-infra decision first
smartwatermelon/dev-env	158	Move agents off native git and gh: a Git/GH MCP server that holds the credentials	agent-gating	PARK	P2	L	Andrew: architecture choice (separate user / sandbox / server-side)	none	Strategic, filed 09-23. Documented bypasses (sugh pr merge, core.hooksPath override) remain live through the Kebab month; interim option 4 or server-side option 3 are the only pieces sized for before 9/30
smartwatermelon/dev-env	154	Idea: scope the new commit/PR safety checks to the same identity logic that gates draft-PR auto-creation	agent-gating	PARK	P3	S	Andrew reviews the personify gate first	none	Body says not in the 9/30 tracker; premise unverified by its author
smartwatermelon/dev-env	140	per-repo test budget	test-thinning	PARK	P2	L	Andrew sets budget numbers	none	"Thin out tests" epic parent (with #141, #111, twistedmelonman/dotfiles#301 which is open). Not started
smartwatermelon/dev-env	111	Enforce maximum test execution time of 20-30 seconds	test-thinning	CLOSE-DUP?	P2	M	none	#140	Per-test time cap is a sub-rule of #140's per-repo time/count budget; fold into #140
smartwatermelon/dev-env	141	deduplicate tests between stages, including CI	test-thinning	PARK	P2	M	none	#140	Same epic; dotfiles full suite runs pre-push and in CI. Not started
smartwatermelon/dev-env	142	CI checks: can we cache GHA environments?	test-thinning	PARK	P3	M	none	#141	One-line idea, no measurement of where CI time goes
smartwatermelon/dev-env	72	dotfiles and claude-config installations need versioning	install-drift	PARK	P2	M	none	none	Neither install.sh prints a version; dotfiles has no tags, claude-config has v0.0.2 only. Related (not dup): twistedmelonman/personify#84 version-bump gate, allup stale-clone problem
smartwatermelon/dev-env	62	Reconcile inconsistent .claude/ tracking across ~/Developer repos	repo-hygiene	PARK	P3	M	Andrew picks the policy	none	twistedmelonman/dotfiles#220 (source fix) closed 08-24; dev-env#110/#115 removed hooks/extensions copies fleet-wide. Remaining is the policy decision the 08-24 comment flagged
smartwatermelon/dev-env	93	Standardize a PR template across both orgs: what was broken, how it was fixed	pr-templates	PARK	P3	S	none	none	09-24: no PULL_REQUEST_TEMPLATE in either org .github repo. personify skill now carries PR-body structure rules, which cuts the need
smartwatermelon/dev-env	122	use PR / issue templates if they exist in target repo	pr-templates	CLOSE-DUP?	P3	S	none	#93	Empty body; it is the agent-guidance half of #93's third "Done when" bullet
smartwatermelon/dev-env	104	AGENTS.md documents nonexistent .Codex/ paths (bad find-and-replace in 870728f)	agents-md	CLOSE-DUP	P2	S	none	#155	dev-env's AGENTS.md is one of the 8 repos in #155, which removes the file rather than repairs it (still tracked, Codex paths present 09-24)
smartwatermelon/dev-env	136	Non-blocking review findings from PR #133 (1)	dependabot-digest	CLOSE-DUP	P3	S	none	#149	Its one item (token strategy undecided) was decided 09-11 (GitHub App), plan merged in dev-env#135, execution tracked in #149
smartwatermelon/dev-env	67	Non-blocking review findings from PR #66 (2)	review-findings	CLOSE-DONE	P3	S	none	none	67.1 fixed in dev-env#73 (banner present in handoff doc). 67.2 items 1-3 done per 08-30 comment; item 4 (keep uchg) reversed by decision, tracked in twistedmelonman/dotfiles#304; item 5 was only "consider"
smartwatermelon/dev-env	77	Review: workflow SHA-pinning plan is stale — its core recommendation is already implemented, but zizmor.yml is deployed to 0 of 12 consumer repos	zizmor	CLOSE-DONE?	P3	S	none	none	Live gap fixed: twistedmelonman/dotfiles#344 (merged 09-17) makes lint-zizmor.sh fall back to the canonical config like CI; per-repo zizmor.yml deletion issues open in 8+ repos. Leftovers (plan doc still "Proposed — not started", tag-invariant assertion) belong to L4 doc hygiene. claude-config#531 still OPEN though fixed by dotfiles#344
smartwatermelon/dev-env	60	better split of local vs CI checks	W3-fleet	CLOSE-DUP	P2	S	none	#147	Decision taken 09-08 and built (W1/W2); the plan it spawned is smartwatermelon/github-workflows#154 (open); what remains is W3 #147 + retirement phase
smartwatermelon/dev-env	119	AI review steps should be modular/pluggable	local-review	CLOSE-DUP?	P3	S	none	none	Empty body; twistedmelonman/claude-config#354 "Make the reviewer engine pluggable" (open) covers it if "pluggable" means engines, not steps
smartwatermelon/dev-env	114	deprecate extensive claude instructions and hopes and dreams in favor of determinitive non-skippable checks	principles	PARK	P3	L	none	#159	Empty body; direction statement already cited by #116/#158. Resume: fold as an input into #159 reassessment
smartwatermelon/dev-env	137	guidance: search for and prefer proven prior art rather than inventing something new	principles	PARK	P3	S	Andrew approves wording	#159	No such line in ~/.claude/CLAUDE.md or docs (grep 09-24). Adding instructions pulls against #114; decide in #159
smartwatermelon/dev-env	138	cockroach theory	principles	PARK	P3	S	none	#159	Principle, no actionable ask. Fold into #159 as an input
